Features,History,Epsilon,Result,Time
[11],10,0.0025,unsat,0.37702345848083496
[11],10,0.005,unsat,0.4570493698120117
[11],10,0.0075,unsat,0.48583197593688965
[11],10,0.01,unsat,0.5004518032073975
[11],10,0.0125,unsat,0.5010585784912109
[11],10,0.015,unsat,0.5132930278778076
[11],10,0.0175,unsat,0.5185987949371338
[11],10,0.02,unsat,0.5058982372283936
[11],10,0.0225,unsat,0.5090789794921875
[11],10,0.025,unsat,0.5064494609832764
[11],10,0.0275,unsat,0.5183124542236328
[11],10,0.03,unsat,0.5110044479370117
[11],10,0.0325,unsat,0.5326025485992432
[11],10,0.035,unsat,0.5109217166900635
[11],10,0.0375,unsat,0.5097446441650391
[11],10,0.04,unsat,0.5179734230041504
[11],10,0.0425,unsat,0.509568452835083
[11],10,0.045,unsat,0.523017406463623
[11],10,0.0475,unsat,0.5121052265167236
[11],10,0.05,unsat,0.5433032512664795
[11],10,0.0025,unsat,0.5069408416748047
[11],10,0.005,unsat,0.5088851451873779
[11],10,0.0075,unsat,0.5128414630889893
[11],10,0.01,unsat,0.5033166408538818
[11],10,0.0125,unsat,0.5130219459533691
[11],10,0.015,unsat,0.505089521408081
[11],10,0.0175,unsat,0.507652759552002
[11],10,0.02,unsat,0.5108640193939209
[11],10,0.0225,unsat,0.5044558048248291
[11],10,0.025,unsat,0.5101258754730225
[11],10,0.0275,unsat,0.5073394775390625
[11],10,0.03,unsat,0.5160155296325684
[11],10,0.0325,unsat,0.5037288665771484
[11],10,0.035,unsat,0.5011367797851562
[11],10,0.0375,unsat,0.49860644340515137
[11],10,0.04,unsat,0.4873313903808594
[11],10,0.0425,unsat,0.5010032653808594
[11],10,0.045,unsat,0.5021660327911377
[11],10,0.0475,unsat,0.5134732723236084
[11],10,0.05,unsat,0.5044693946838379
[11],10,0.0025,unsat,0.5037305355072021
[11],10,0.005,unsat,0.5139765739440918
[11],10,0.0075,unsat,0.5102384090423584
[11],10,0.01,unsat,0.5130324363708496
[11],10,0.0125,unsat,0.5057106018066406
[11],10,0.015,unsat,0.5196561813354492
[11],10,0.0175,unsat,0.5073032379150391
[11],10,0.02,unsat,0.5021164417266846
[11],10,0.0225,unsat,0.5065977573394775
[11],10,0.025,unsat,0.5067675113677979
[11],10,0.0275,unsat,0.5090725421905518
[11],10,0.03,unsat,0.5065383911132812
[11],10,0.0325,unsat,0.5230469703674316
[11],10,0.035,unsat,0.5080418586730957
[11],10,0.0375,unsat,0.5082821846008301
[11],10,0.04,unsat,0.5149688720703125
[11],10,0.0425,unsat,0.5114994049072266
[11],10,0.045,unsat,0.5157065391540527
[11],10,0.0475,unsat,0.5086212158203125
[11],10,0.05,unsat,0.5388882160186768
[11],10,0.0025,unsat,0.5125031471252441
[11],10,0.005,unsat,0.5109601020812988
[11],10,0.0075,unsat,0.5176684856414795
[11],10,0.01,unsat,0.5051250457763672
[11],10,0.0125,unsat,0.5175089836120605
[11],10,0.015,unsat,0.5107262134552002
[11],10,0.0175,unsat,0.5405309200286865
[11],10,0.02,unsat,0.5089335441589355
[11],10,0.0225,unsat,0.5084645748138428
[11],10,0.025,unsat,0.5156490802764893
[11],10,0.0275,unsat,0.5035362243652344
[11],10,0.03,unsat,0.5103940963745117
[11],10,0.0325,unsat,0.5091466903686523
[11],10,0.035,unsat,0.5409691333770752
[11],10,0.0375,unsat,0.5036334991455078
[11],10,0.04,unsat,0.5050187110900879
[11],10,0.0425,unsat,0.513873815536499
[11],10,0.045,unsat,0.507610559463501
[11],10,0.0475,unsat,0.5169482231140137
[11],10,0.05,unsat,0.5048961639404297
[11],10,0.0025,unsat,0.502540111541748
[11],10,0.005,unsat,0.5140285491943359
[11],10,0.0075,unsat,0.5065617561340332
[11],10,0.01,unsat,0.5096921920776367
[11],10,0.0125,unsat,0.5099256038665771
[11],10,0.015,unsat,0.5186784267425537
[11],10,0.0175,unsat,0.5124242305755615
[11],10,0.02,unsat,0.5094459056854248
[11],10,0.0225,unsat,0.5146632194519043
[11],10,0.025,unsat,0.5067751407623291
[11],10,0.0275,unsat,0.5157835483551025
[11],10,0.03,unsat,0.513148307800293
[11],10,0.0325,unsat,0.5147609710693359
[11],10,0.035,unsat,0.5115170478820801
[11],10,0.0375,unsat,0.5118875503540039
[11],10,0.04,unsat,0.5150406360626221
[11],10,0.0425,unsat,0.5100533962249756
[11],10,0.045,unsat,0.512732982635498
[11],10,0.0475,unsat,0.5099422931671143
[11],10,0.05,unsat,0.5160229206085205
[11],10,0.0025,unsat,0.5100324153900146
[11],10,0.005,unsat,0.5094113349914551
[11],10,0.0075,unsat,0.516129732131958
[11],10,0.01,unsat,0.5088598728179932
[11],10,0.0125,unsat,0.5176308155059814
[11],10,0.015,unsat,0.5079989433288574
[11],10,0.0175,unsat,0.519233226776123
[11],10,0.02,unsat,0.5199224948883057
[11],10,0.0225,unsat,0.5061450004577637
[11],10,0.025,unsat,0.5145494937896729
[11],10,0.0275,unsat,0.5055122375488281
[11],10,0.03,unsat,0.5130856037139893
[11],10,0.0325,unsat,0.5083191394805908
[11],10,0.035,unsat,0.5171382427215576
[11],10,0.0375,unsat,0.5098795890808105
[11],10,0.04,unsat,0.504502534866333
[11],10,0.0425,unsat,0.5119574069976807
[11],10,0.045,unsat,0.5095729827880859
[11],10,0.0475,unsat,0.5192151069641113
[11],10,0.05,unsat,0.5077776908874512
[11],10,0.0025,unsat,0.5204691886901855
[11],10,0.005,unsat,0.5075347423553467
[11],10,0.0075,unsat,0.5040156841278076
[11],10,0.01,unsat,0.5130383968353271
[11],10,0.0125,unsat,0.5078816413879395
[11],10,0.015,unsat,0.514094352722168
[11],10,0.0175,unsat,0.5082342624664307
[11],10,0.02,unsat,0.526404857635498
[11],10,0.0225,unsat,0.5069057941436768
