Features,Historys,Epsilon,Result,Time
0,1,0.016,able,2.0576224327087402
0,1,0.032,able,2.063866138458252
0,1,0.048,able,2.0610618591308594
0,1,0.064,able,2.0923564434051514
0,1,0.08,able,2.0419771671295166
1,1,0.016,able,25.00717520713806
1,1,0.032,able,955.313657283783
1,1,0.048,able,41.50815439224243
1,1,0.064,able,1014.1878337860107
1,1,0.08,able,196.19102883338928
2,1,0.016,able,11706.001639604568
2,1,0.032,able,84.48620629310608
2,1,0.048,able,2218.769909143448
2,1,0.064,able,537.7508063316345
2,1,0.08,able,344.1382305622101
3,1,0.016,able,282.1602637767792
3,1,0.032,able,188.62983226776123
3,1,0.048,able,360.0335566997528
3,1,0.064,able,242.0114302635193
3,1,0.08,able,205.82937574386597
4,1,0.016,able,148.60834050178528
4,1,0.032,able,232.27127838134766
4,1,0.048,able,837.7100808620453
4,1,0.064,able,448.8348526954651
4,1,0.08,able,60.20430111885071
5,1,0.016,able,153.4548909664154
5,1,0.032,able,551.6200866699219
5,1,0.048,able,295.6290228366852
5,1,0.064,able,3929.9717712402344
5,1,0.08,able,42323.54442334175
"[0, 1, 2, 3, 4, 5]","[1, 1, 1, 1, 1, 1]",0.016,able,8.628409385681152
"[0, 1, 2, 3, 4, 5]","[1, 1, 1, 1, 1, 1]",0.032,able,8.621235370635986
"[0, 1, 2, 3, 4, 5]","[1, 1, 1, 1, 1, 1]",0.048,able,8.612368106842041
"[0, 1, 2, 3, 4, 5]","[1, 1, 1, 1, 1, 1]",0.064,able,8.684483289718628
"[0, 1, 2, 3, 4, 5]","[1, 1, 1, 1, 1, 1]",0.08,able,8.806652545928955
