Features,History,Result,Time
[0],0,unsat,1.5764613151550293
[1],0,unsat,1.9607975482940674
[2],0,unsat,1.6744215488433838
[3],0,unsat,1.6250896453857422
[4],0,unsat,1.877697229385376
[5],0,unsat,1.7311112880706787
[6],0,unsat,2.017975091934204
[7],0,unsat,2.1016244888305664
[8],0,unsat,1.4669950008392334
[9],0,unsat,1.535562515258789
[10],0,unsat,2.106386184692383
[11],0,unsat,1.9164209365844727
[12],0,unsat,2.1584866046905518
[13],0,unsat,2.0419342517852783
[14],0,unsat,1.9064538478851318
[15],0,unsat,1.5843775272369385
[16],0,unsat,2.080326557159424
[17],0,unsat,2.4884836673736572
[18],0,unsat,1.9919281005859375
[19],0,unsat,2.007672071456909
[20],0,unsat,1.8743560314178467
[21],0,unsat,2.1737003326416016
[22],0,unsat,0.8357751369476318
[23],0,unsat,0.6035997867584229
[0],0,unsat,2.030512809753418
[1],0,unsat,2.05025053024292
[2],0,unsat,2.4339141845703125
[3],0,unsat,1.700453519821167
[4],0,unsat,2.2731809616088867
[5],0,unsat,2.2618274688720703
[6],0,unsat,2.4335062503814697
[7],0,unsat,2.2093517780303955
[8],0,unsat,1.9923818111419678
[9],0,unsat,1.8301656246185303
[10],0,unsat,1.9106974601745605
[11],0,unsat,2.194650650024414
[12],0,unsat,1.9138736724853516
[13],0,unsat,2.060513496398926
[14],0,unsat,2.071183919906616
[15],0,unsat,1.7711148262023926
[16],0,unsat,2.0409669876098633
[17],0,unsat,1.9989018440246582
[18],0,unsat,1.8262877464294434
[19],0,unsat,2.2600584030151367
[20],0,unsat,2.659010171890259
[21],0,unsat,2.0460124015808105
[22],0,unsat,0.7973167896270752
[23],0,unsat,0.628673791885376
[0],0,unsat,1.9958829879760742
[1],0,unsat,2.1361141204833984
[2],0,unsat,2.865661859512329
[3],0,unsat,1.9804728031158447
[4],0,unsat,2.832327127456665
[5],0,unsat,2.6788105964660645
[6],0,unsat,2.3903417587280273
[7],0,unsat,2.4201788902282715
[8],0,unsat,2.4897851943969727
[9],0,unsat,2.1557533740997314
[10],0,unsat,2.685990571975708
[11],0,unsat,1.7771251201629639
[12],0,unsat,1.8860623836517334
[13],0,unsat,2.2682759761810303
[14],0,unsat,2.0560152530670166
[15],0,unsat,2.6168556213378906
[16],0,unsat,2.072148323059082
[17],0,unsat,2.639991283416748
[18],0,unsat,2.419546127319336
[19],0,unsat,2.2561590671539307
[20],0,unsat,2.3990650177001953
[21],0,unsat,2.7476348876953125
[22],0,unsat,0.8624796867370605
[23],0,unsat,0.6070353984832764
[0],0,unsat,2.478869676589966
[1],0,unsat,2.0726053714752197
[2],0,unsat,2.0352578163146973
[3],0,unsat,1.7872989177703857
[4],0,unsat,2.0128068923950195
[5],0,unsat,2.2168519496917725
[6],0,unsat,1.7943449020385742
[7],0,unsat,2.2404062747955322
[8],0,unsat,1.8767502307891846
[9],0,unsat,2.049626111984253
