latency_inflation_1,latency_ratio_1,Time
-0.65,8.63,0.514962196
-0.64,8.64,0.020815372
-0.63,8.65,0.02966094
-0.62,8.66,0.021800518
-0.61,8.67,0.026548862
-0.6,8.68,0.026200533
-0.59,8.69,0.022438288
-0.58,8.62,0.041980982
-0.57,8.61,0.019730806
-0.56,8.6,0.015681982
-0.55,8.59,0.016837597
-0.54,8.58,0.017719984
-0.53,8.57,0.018155336
-0.52,8.56,0.018871307
-0.51,8.55,0.019047499
-0.5,8.54,0.017367601
-0.49,8.53,0.017216682
-0.48,8.52,0.01855731
-0.47,8.51,0.018044233
-0.46,8.5,0.017995834
-0.45,8.49,0.018046618
-0.44,8.48,0.017963648
-0.43,8.47,0.020034552
-0.42,8.46,0.018646002
-0.41,8.45,0.018128872
-0.4,8.44,0.018619061
-0.39,8.43,0.018735886
-0.38,9.36,0.019211769
-0.37,9.35,0.017143965
-0.36,9.34,0.021673203
-0.35,9.33,0.018758535
-0.34,9.32,0.017619848
-0.33,9.31,0.01931262
-0.32,9.3,0.019201279
-0.31,9.29,0.017600775
-0.3,9.28,0.025984526
-0.29,9.27,0.0185287
-0.28,9.26,0.017552137
-0.27,9.25,0.017477751
-0.26,9.24,0.017806292
-0.25,9.23,0.018768311
-0.24,9.22,0.016859293
-0.23,9.21,0.0168643
-0.22,9.2,0.016978025
-0.21,9.19,0.021486998
-0.2,9.18,0.017993927
-0.19,9.17,0.017031193
-0.18,9.16,0.016837597
-0.17,9.15,0.01782465
-0.16,9.14,0.016483784
-0.15,9.13,0.016493797
-0.14,9.12,0.017766476
-0.13,9.11,0.016517162
-0.12,9.1,0.016343832
-0.11,9.09,0.016522408
-0.1,9.08,0.01783514
-0.09,9.07,0.016261101
-0.08,9.06,0.016880512
-0.07,9.05,0.019233465
-0.06,9.04,0.016256094
-0.05,9.03,0.016216993
-0.04,9.02,0.01620841
-0.03,9.01,0.016341209
-0.02,9,0.027984858
-0.01,8.98,0.017640352
0,8.97,0.016312838
0.01,8.96,0.018130541
0.02,8.95,0.018017292
0.03,8.94,0.017564535
0.04,8.93,0.016405582
0.05,8.92,0.017930508
0.06,8.91,0.017599583
0.07,8.9,0.017540932
0.08,8.89,0.017501831
0.09,8.88,0.019178152
0.1,8.87,0.016118526
0.11,8.86,0.01764679
0.12,8.85,0.016531229
0.13,8.84,0.01647687
0.14,8.78,0.018402576
0.15,8.77,0.017300129
0.16,8.76,0.015932322
0.17,8.75,0.016042709
0.18,8.7,0.016503811
0.19,8.71,0.015468359
0.2,8.72,0.016434908
0.21,8.73,0.015710831
0.22,8.74,0.103447914
0.23,8.99,0.016756773
0.24,8.79,0.014179945
0.25,8.8,0.014206171
0.26,8.81,0.01469636
0.27,8.82,0.01510334
0.28,8.83,4.92008853
0.29,10.66,11.9735229
